Region_id,Region,Date,total_homes_sold,total_homes_sold_yoy,Cases
13,Austin,2/27/20,796,-0.048984468,0
13,Austin,2/28/20,913,-0.185548617,0
13,Austin,2/29/20,919,-0.159963437,0
13,Austin,3/1/20,921,-0.158135283,0
13,Austin,3/2/20,994,-0.090576395,0
13,Austin,3/3/20,1002,-0.049335863,0
13,Austin,3/4/20,989,-0.049951969,0
13,Austin,3/5/20,942,-0.011542497,0
13,Austin,3/6/20,798,0.17699115,0
13,Austin,3/7/20,794,0.171091445,0
13,Austin,3/8/20,792,0.175074184,0
13,Austin,3/9/20,736,0.091988131,0
13,Austin,3/10/20,749,0.10962963,0
13,Austin,3/11/20,768,0.14115899,0
13,Austin,3/12/20,764,0.123529412,0
13,Austin,3/13/20,776,0.127906977,0
13,Austin,3/14/20,775,0.139705882,0
13,Austin,3/15/20,777,0.025065963,2
13,Austin,3/16/20,808,0.067371202,2
13,Austin,3/17/20,782,0.034391534,3
13,Austin,3/18/20,773,-0.00129199,4
13,Austin,3/19/20,743,-0.004021448,7
13,Austin,3/20/20,720,-0.023066486,21
13,Austin,3/21/20,718,-0.028416779,22
13,Austin,3/22/20,719,0.086102719,22
13,Austin,3/23/20,683,0.031722054,22
13,Austin,3/24/20,691,0.043806647,79
13,Austin,3/25/20,700,0.007194245,98
13,Austin,3/26/20,714,-0.009708738,119
13,Austin,3/27/20,767,0.00656168,137
13,Austin,3/28/20,769,-0.108922364,160
13,Austin,3/29/20,767,-0.306509946,179
13,Austin,3/30/20,787,-0.290351668,200
13,Austin,3/31/20,906,-0.185983827,206
13,Austin,4/1/20,889,-0.192552225,244
13,Austin,4/2/20,860,-0.212454212,305
13,Austin,4/3/20,758,-0.275334608,351
13,Austin,4/4/20,757,-0.209812109,430
22,Houston,1/7/20,583,0.145383104,0
22,Houston,1/8/20,689,0.156040268,0
22,Houston,1/9/20,731,0.200328407,0
22,Houston,1/10/20,866,0.355242567,0
22,Houston,1/11/20,864,0.139841689,0
22,Houston,1/12/20,864,0.132372215,0
22,Houston,1/13/20,881,0.156167979,0
22,Houston,1/14/20,911,0.167948718,0
22,Houston,1/15/20,1033,0.180571429,0
22,Houston,1/16/20,1105,0.225055432,0
22,Houston,1/17/20,1150,0.243243243,0
22,Houston,1/18/20,1149,0.152457372,0
22,Houston,1/19/20,1151,0.160282258,0
22,Houston,1/20/20,1006,0.012072435,0
22,Houston,1/21/20,1083,0.240549828,0
22,Houston,1/22/20,1012,0.176744186,0
22,Houston,1/23/20,970,0.108571429,0
22,Houston,1/24/20,956,0.085130533,0
22,Houston,1/25/20,964,0.085585586,0
22,Houston,1/26/20,963,0.077181208,0
22,Houston,1/27/20,1168,0.307950728,0
22,Houston,1/28/20,1132,0.051067781,0
22,Houston,1/29/20,1165,0.07175713,0
22,Houston,1/30/20,1292,0.059885152,0
22,Houston,1/31/20,1571,-0.001905972,0
22,Houston,2/1/20,1570,0.081267218,0
22,Houston,2/2/20,1571,0.081955923,0
22,Houston,2/3/20,1535,0.05789111,0
22,Houston,2/4/20,1519,0.106336489,0
